STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE
06,001,Alameda,California,1682353,+37.706599,-122.098766
06,003,Alpine,California,1204,+38.728485,-119.847822
06,005,Amador,California,40474,+38.395906,-120.778038
06,007,Butte,California,211632,+39.658926,-121.726510
06,009,Calaveras,California,45292,+38.157342,-120.645222
06,011,Colusa,California,21839,+39.153446,-122.083801
06,013,Contra Costa,California,1165927,+37.935010,-122.024961
06,015,Del Norte,California,27743,+41.790833,-124.164236
06,017,El Dorado,California,191185,+38.741021,-120.761446
06,019,Fresno,California,1008654,+36.743848,-119.765291
06,021,Glenn,California,28917,+39.665777,-122.179287
06,023,Humboldt,California,136463,+40.757636,-124.088127
06,025,Imperial,California,179702,+32.841599,-115.540049
06,027,Inyo,California,19016,+37.171422,-118.268567
06,029,Kern,California,909235,+35.369809,-118.941786
06,031,Kings,California,152486,+36.252657,-119.726922
06,033,Lake,California,68163,+38.976233,-122.732922
06,035,Lassen,California,32730,+40.393749,-120.584467
06,037,Los Angeles,California,10014009,+34.067886,-118.245990
06,039,Madera,California,156255,+37.037074,-120.009796
06,041,Marin,California,262321,+37.986474,-122.546657
06,043,Mariposa,California,17131,+37.532076,-119.971401
06,045,Mendocino,California,91601,+39.285646,-123.394154
06,047,Merced,California,281202,+37.274812,-120.628944
06,049,Modoc,California,8700,+41.521665,-120.631201
06,051,Mono,California,13195,+37.773016,-118.970627
06,053,Monterey,California,439035,+36.614681,-121.646692
06,055,Napa,California,138019,+38.325108,-122.319983
06,057,Nevada,California,102241,+39.220021,-120.915206
06,059,Orange,California,3186989,+33.732683,-117.858773
06,061,Placer,California,404739,+38.839708,-121.198379
06,063,Plumas,California,19790,+39.981152,-120.821957
06,065,Riverside,California,2418185,+33.799274,-117.076969
06,067,Sacramento,California,1585055,+38.568337,-121.381235
06,069,San Benito,California,64209,+36.843074,-121.402614
06,071,San Bernardino,California,2181654,+34.190969,-117.359766
06,073,San Diego,California,3298634,+32.884418,-117.112348
06,075,San Francisco,California,873965,+37.760569,-122.436499
06,077,San Joaquin,California,779233,+37.924541,-121.302289
06,079,San Luis Obispo,California,282424,+35.341822,-120.665804
06,081,San Mateo,California,764442,+37.563575,-122.339869
06,083,Santa Barbara,California,448229,+34.645128,-120.102900
06,085,Santa Clara,California,1936259,+37.315518,-121.911090
06,087,Santa Cruz,California,270861,+36.986338,-121.938739
06,089,Shasta,California,182155,+40.578348,-122.300147
06,091,Sierra,California,3236,+39.607184,-120.421856
06,093,Siskiyou,California,44076,+41.572743,-122.493725
06,095,Solano,California,453491,+38.236295,-122.067272
06,097,Sonoma,California,488863,+38.412281,-122.720368
06,099,Stanislaus,California,552878,+37.618447,-120.955882
06,101,Sutter,California,99633,+39.137197,-121.643973
06,103,Tehama,California,65829,+40.114795,-122.219057
06,105,Trinity,California,16112,+40.629982,-123.096608
06,107,Tulare,California,473117,+36.254134,-119.234540
06,109,Tuolumne,California,55620,+37.972006,-120.325224
06,111,Ventura,California,843843,+34.242809,-119.025486
06,113,Yolo,California,216403,+38.598163,-121.718874
06,115,Yuba,California,81575,+39.131905,-121.510607

